price,condition,mileage,year_built,engine,location,company,model
62800,Used,94999,2013,1197,Selangor,Volkswagen,Beetle
63800,Used,59999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
66888,Used,84999,2015,1197,Perak,Volkswagen,Beetle
58900,Used,84999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
113888,Used,34999,2018,1197,Selangor,Volkswagen,Beetle
68800,Used,69999,2013,1390,Kuala Lumpur,Volkswagen,Beetle
92888,Used,79999,2019,1197,Selangor,Volkswagen,Beetle
64888,Used,74999,2014,1197,Selangor,Volkswagen,Beetle
62999,Used,94999,2014,1197,Johor,Volkswagen,Beetle
95800,Used,59999,2018,1197,Selangor,Volkswagen,Beetle
59800,Used,84999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
123800,Used,49999,2017,1197,Penang,Volkswagen,Beetle
62800,Used,44999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
66888,,,,,Selangor,Volkswagen,Beetle
53900,Used,94999,2013,1197,Selangor,Volkswagen,Beetle
63707,Used,74999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
53900,Used,79999,2013,1197,Selangor,Volkswagen,Beetle
59800,Used,99999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
126888,Used,34999,2017,1197,Selangor,Volkswagen,Beetle
56676,Used,94999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
99780,Used,34999,2019,1197,Kuala Lumpur,Volkswagen,Beetle
94999,Used,89999,2018,1197,Selangor,Volkswagen,Beetle
58800,Used,94999,2012,1197,Selangor,Volkswagen,Beetle
58800,Used,89999,2012,1197,Selangor,Volkswagen,Beetle
115000,Used,29999,2018,1197,Kuala Lumpur,Volkswagen,Beetle
59800,Used,94999,2012,1197,Selangor,Volkswagen,Beetle
59600,Used,139999,2014,1197,Selangor,Volkswagen,Beetle
62888,Used,84999,2013,1197,Selangor,Volkswagen,Beetle
53900,Used,89999,2013,1197,Selangor,Volkswagen,Beetle
68800,Used,54999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
59800,Used,64999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
58800,Used,94999,2012,1197,Kuala Lumpur,Volkswagen,Beetle
89800,Used,54999,2015,1197,Penang,Volkswagen,Beetle
60800,Used,109999,2013,1197,Penang,Volkswagen,Beetle
75800,Used,44999,2014,1197,Selangor,Volkswagen,Beetle
63800,,,,,Selangor,Volkswagen,Beetle
178000,Recon,44999,2018,1197,Kuala Lumpur,Volkswagen,Beetle
63980,Used,64999,2013,1197,Selangor,Volkswagen,Beetle
59800,Used,49999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
69800,Used,44999,2014,1197,Johor,Volkswagen,Beetle
95800,Used,59999,2018,1197,Selangor,Volkswagen,Beetle
36900,Used,59999,2010,1596,Penang,Volkswagen,Beetle
35000,Used,94999,2010,1596,Penang,Volkswagen,Beetle
69800,Used,74999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
62000,Used,89999,2013,1197,Selangor,Volkswagen,Beetle
58800,Used,59999,2012,1197,Selangor,Volkswagen,Beetle
63800,Used,84999,2015,1197,Selangor,Volkswagen,Beetle
60900,Used,99999,2013,1197,Penang,Volkswagen,Beetle
97800,Used,24999,2018,1197,Kuala Lumpur,Volkswagen,Beetle
59838,Used,94999,2013,1197,Selangor,Volkswagen,Beetle
74800,Used,99999,2014,1197,Johor,Volkswagen,Beetle
69900,Used,84999,2014,1197,Johor,Volkswagen,Beetle
110800,Used,Used,Used,Used,Perak,Volkswagen,Beetle
63980,Used,139999,2013,1197,Selangor,Volkswagen,Beetle
65999,Used,79999,2015,1197,Johor,Volkswagen,Beetle
65980,Used,64999,2013,1197,Selangor,Volkswagen,Beetle
62800,Used,94999,2013,1197,Selangor,Volkswagen,Beetle
58800,Used,94999,2012,1197,Selangor,Volkswagen,Beetle
65999,Used,64999,2015,1197,Johor,Volkswagen,Beetle
58800,Used,84999,2012,1197,Selangor,Volkswagen,Beetle
85000,Used,79999,2010,1984,Selangor,Volkswagen,Beetle
93888,Used,84999,2019,1197,Kuala Lumpur,Volkswagen,Beetle
59800,Used,99999,2013,1197,Selangor,Volkswagen,Beetle
27999,Used,84999,2008,1595,Kuala Lumpur,Volkswagen,Beetle
66999,Used,89999,2013,1197,Johor,Volkswagen,Beetle
68800,Used,84999,2013,1197,Penang,Volkswagen,Beetle
63800,Used,69999,2014,1197,Johor,Volkswagen,Beetle
58800,Used,59999,2013,1197,Selangor,Volkswagen,Beetle
59800,Used,Used,Used,Used,Selangor,Volkswagen,Beetle
69800,Used,69999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
58800,Used,84999,2012,1197,Selangor,Volkswagen,Beetle
123800,Used,49999,2017,1197,Perak,Volkswagen,Beetle
59500,Used,74999,2014,1197,Selangor,Volkswagen,Beetle
58800,Used,89999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
69999,Used,64999,2015,1197,Johor,Volkswagen,Beetle
62999,Used,64999,2014,1197,Johor,Volkswagen,Beetle
55500,Used,64999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
68800,Used,74999,2014,1197,Johor,Volkswagen,Beetle
62999,Used,89999,2014,1197,Johor,Volkswagen,Beetle
67800,Used,84999,2016,1197,Selangor,Volkswagen,Beetle
63800,Used,59999,2013,1197,Perak,Volkswagen,Beetle
68800,Used,69999,2014,1197,Johor,Volkswagen,Beetle
59799,Used,89999,2013,1197,Selangor,Volkswagen,Beetle
96800,Used,79999,2017,1197,Kuala Lumpur,Volkswagen,Beetle
63000,Used,84999,2013,1197,Johor,Volkswagen,Beetle
55800,Used,89999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
70999,Used,Used,Used,Used,Selangor,Volkswagen,Beetle
72800,Used,99999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
59800,Used,89999,2013,1197,Sarawak,Volkswagen,Beetle
59800,Used,89999,2013,1197,Sabah,Volkswagen,Beetle
69999,Used,64999,2015,1197,Johor,Volkswagen,Beetle
70000,Used,69999,2014,1197,Johor,Volkswagen,Beetle
65999,Used,79999,2015,1197,Johor,Volkswagen,Beetle
85000,Used,69999,2012,1984,Sabah,Volkswagen,Beetle
58800,Used,84999,2013,1197,Selangor,Volkswagen,Beetle
58900,Used,79999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
62999,Used,79999,2014,1197,Johor,Volkswagen,Beetle
65999,Used,74999,2015,1197,Johor,Volkswagen,Beetle
60000,Used,69999,2013,1197,Selangor,Volkswagen,Beetle
59650,Used,109999,2014,1197,Selangor,Volkswagen,Beetle
66800,Used,69999,2014,1197,Johor,Volkswagen,Beetle
69500,Used,84999,2013,1390,Penang,Volkswagen,Beetle
59800,Used,74999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
69999,Used,49999,2015,1197,Johor,Volkswagen,Beetle
68800,Used,89999,2015,1197,Kuala Lumpur,Volkswagen,Beetle
27989,Used,129999,2008,1595,Kuala Lumpur,Volkswagen,Beetle
62800,Used,129999,2013,1197,Penang,Volkswagen,Beetle
62800,Used,89999,2013,1197,Selangor,Volkswagen,Beetle
71888,Used,69999,2015,1197,Selangor,Volkswagen,Beetle
27609,Used,119999,2008,1595,Kuala Lumpur,Volkswagen,Beetle
58800,Used,89999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
116800,Used,44999,2018,1197,Perak,Volkswagen,Beetle
59800,Used,94999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
116800,Used,29999,2018,1197,Selangor,Volkswagen,Beetle
100000,Used,29999,2018,1197,Selangor,Volkswagen,Beetle
62999,Used,69999,2014,1197,Johor,Volkswagen,Beetle
66888,Used,84999,2015,1197,Selangor,Volkswagen,Beetle
59800,Used,89999,2012,1197,Perak,Volkswagen,Beetle
95800,Used,84999,2012,1984,Kuala Lumpur,Volkswagen,Beetle
119800,Used,34999,2018,1197,Penang,Volkswagen,Beetle
118000,Used,29999,2018,1197,Kuala Lumpur,Volkswagen,Beetle
58000,Used,69999,2012,1197,Kuala Lumpur,Volkswagen,Beetle
55888,Used,99999,2013,1197,Kuala Lumpur,Volkswagen,Beetle
62800,Used,69999,2013,1197,Selangor,Volkswagen,Beetle
83999,Used,74999,2013,1984,Kuala Lumpur,Volkswagen,Beetle
66800,Used,64999,2014,1197,Johor,Volkswagen,Beetle
78800,Used,44999,2014,1197,Penang,Volkswagen,Beetle
67800,Used,69999,2013,1197,Penang,Volkswagen,Beetle
56800,Used,99999,2013,1197,Selangor,Volkswagen,Beetle
58800,Used,84999,2013,1197,Selangor,Volkswagen,Beetle
65800,Used,109999,2013,1390,Johor,Volkswagen,Beetle
116500,Used,34999,2018,1197,Penang,Volkswagen,Beetle
66888,Used,Used,Used,Used,Selangor,Volkswagen,Beetle
86999,Used,84999,2013,1984,Selangor,Volkswagen,Beetle
28999,Used,89999,2008,1595,Kuala Lumpur,Volkswagen,Beetle
113888,Used,34999,2018,1197,Kuala Lumpur,Volkswagen,Beetle
58000,Used,69999,2012,1197,Kuala Lumpur,Volkswagen,Beetle
79888,Used,44999,2014,1197,Penang,Volkswagen,Beetle
63888,Used,79999,2014,1197,Selangor,Volkswagen,Beetle
69999,Used,89999,2015,1197,Selangor,Volkswagen,Beetle
62999,Used,89999,2014,1197,Johor,Volkswagen,Beetle
53999,Used,Used,Used,Used,Selangor,Volkswagen,Beetle
113888,Used,34999,2018,1197,Selangor,Volkswagen,Beetle
68980,Used,94999,2014,1197,Selangor,Volkswagen,Beetle
28000,Used,89999,2008,1595,Perak,Volkswagen,Beetle
63800,Used,89999,2013,1197,Johor,Volkswagen,Beetle
62999,Used,94999,2014,1197,Johor,Volkswagen,Beetle
23800,Used,109999,2010,1596,Selangor,Volkswagen,Beetle
74800,Used,64999,2014,1197,Perak,Volkswagen,Beetle
33980,Used,129999,2010,1596,Selangor,Volkswagen,Beetle
62800,Used,89999,2013,1197,Selangor,Volkswagen,Beetle
64800,Used,Used,Used,Used,Kuala Lumpur,Volkswagen,Beetle
69800,Used,69999,2014,1197,Kuala Lumpur,Volkswagen,Beetle
55000,Used,94999,2013,1197,Selangor,Volkswagen,Beetle
66800,Used,64999,2014,1197,Johor,Volkswagen,Beetle
99780,Used,Used,Used,Used,Kuala Lumpur,Volkswagen,Beetle
31800,Used,159999,2008,1595,Kuala Lumpur,Volkswagen,Beetle
